Passengers,Dist2Sta,Rooms,Area,Age,TransYear,TransQ,CPI,Value
52071.7,23.0,4.0,70,5.0,2022,2,102.3,3200.0
52071.7,23.0,,80,4.0,2021,4,99.8,3200.0
52071.7,23.0,,65,4.0,2021,3,99.8,2700.0
52071.7,23.0,4.0,75,4.0,2021,3,99.8,3400.0
52071.7,23.0,4.0,80,4.0,2021,2,99.8,3700.0
52071.7,23.0,5.0,80,4.0,2021,2,99.8,3900.0
52071.7,23.0,,65,4.0,2021,2,99.8,2800.0
52071.7,23.0,,80,3.0,2020,4,100.0,3400.0
52071.7,23.0,,65,3.0,2020,3,100.0,2700.0
12225.7,29.0,4.0,60,48.0,2023,3,105.6,1000.0
12225.7,16.0,4.0,90,13.0,2023,3,105.6,4800.0
12225.7,18.0,5.0,85,26.0,2023,1,105.6,3600.0
12225.7,29.0,3.0,65,48.0,2023,1,105.6,1700.0
12225.7,16.0,,85,12.0,2022,4,102.3,4000.0
12225.7,29.0,,70,47.0,2022,2,102.3,400.0
12225.7,16.0,,70,12.0,2022,2,102.3,3300.0
12225.7,18.0,3.0,80,48.0,2022,1,102.3,1200.0
12225.7,18.0,3.0,70,24.0,2021,4,99.8,2500.0
12225.7,18.0,5.0,95,27.0,2021,3,99.8,3300.0
12225.7,29.0,3.0,60,46.0,2021,2,99.8,730.0
12225.7,16.0,3.0,85,10.0,2020,3,100.0,3700.0
12225.7,18.0,4.0,60,45.0,2020,3,100.0,830.0
12225.7,19.0,,70,10.0,2020,2,100.0,3100.0
12225.7,18.0,4.0,70,45.0,2020,2,100.0,9000.0
12225.7,18.0,4.0,70,10.0,2020,1,100.0,3100.0
12225.7,18.0,4.0,80,15.0,2019,4,100.0,3700.0
12225.7,16.0,4.0,75,9.0,2019,4,100.0,4200.0
12225.7,16.0,4.0,60,44.0,2019,3,100.0,990.0
12225.7,18.0,5.0,120,45.0,2019,2,100.0,1500.0
27120.9,23.0,,80,19.0,2023,1,105.6,3000.0
27120.9,21.0,,70,16.0,2021,4,99.8,2900.0
27120.9,21.0,4.0,85,16.0,2021,2,99.8,3500.0
27120.9,16.0,3.0,80,7.0,2020,2,100.0,4800.0
27120.9,4.0,,70,23.0,2023,3,105.6,4500.0
27120.9,5.0,,80,25.0,2021,4,99.8,3700.0
27120.9,13.0,5.0,105,11.0,2023,4,105.6,6400.0
27120.9,14.0,5.0,90,49.0,2023,4,105.6,2600.0
27120.9,11.0,4.0,70,10.0,2023,3,105.6,4600.0
27120.9,13.0,4.0,75,10.0,2022,4,102.3,4400.0
