,評定者,対象,小さい,綺麗,癒し,柔らかい,ふわふわ,あたたかい,お洒落,美しい,優しい,女の子らしい,素敵,丸い,きらきら,無邪気,和み,幼い,華やか
73,xZTY77lWM,プーさん,0,0,2,2,2,2,2,-2,1,-2,1,2,-2,0,0,-1,-1
74,hx3923eKu,小さい子,2,-2,2,2,1,2,-1,-2,1,0,0,1,2,2,2,2,-1
75,/PHWjtxQs,笑顔,1,0,2,1,1,1,2,1,2,2,2,0,-1,2,2,1,-1
76,pXA1erXJk,キラキラ,2,2,2,0,0,-2,2,2,-1,2,2,2,2,-2,1,-2,2
77,AQyJT8wuY,ふわふわ,0,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2
78,6rimPm3+0,Miranda Kerr,-2,2,1,-1,-2,1,2,2,1,2,2,-2,0,-2,-1,-1,1
79,tMFkHybly,妹,2,-1,2,2,2,1,-2,-1,2,2,1,0,0,2,2,2,-1
80,7U+LCg3y8,洋服,-2,2,-2,-2,-2,-2,2,2,-2,2,2,-2,2,-2,-1,-2,1
81,Gt+RIPOxE,ぬいぐるみ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
82,D8HshWhuC,ハムスター,2,-1,2,2,2,2,-1,-1,-1,-1,0,2,-1,0,2,-1,-1
83,lWQyu0KAw,顔,2,2,-2,2,2,-2,-1,2,1,2,1,2,0,1,0,2,0
84,x2JIha7pa,増田貴久,-2,-2,2,1,2,2,2,2,2,0,2,1,2,2,2,0,2
85,k3p2ZrXM0,服,-1,2,1,2,2,0,2,2,-2,2,2,-2,0,-2,0,-2,2
86,KvU4uz9zm,猫,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,0,2
87,lschzgsz4,ワンピース,-2,2,-1,-2,-2,-1,2,2,-1,2,2,-2,2,-2,-2,-2,2
88,E2PLla6IW,サル,2,-1,2,1,1,2,-2,-1,1,-1,2,-1,2,2,2,2,-1
89,+ICPkmLS6,ワンピース,-1,0,1,1,0,0,1,1,1,2,1,-2,2,1,0,1,0
90,EnIktFsBo,犬(ヨークシャテリア),2,-1,2,2,2,1,-1,-1,1,1,0,1,-1,1,2,0,-1
91,+Hpfbit+a,小さい子,2,-1,2,2,2,2,-2,-2,-2,-2,1,1,1,1,1,2,-2
92,XK3Z5LJNy,犬,0,-1,2,2,1,2,0,0,2,-1,2,-1,2,2,2,0,-1
93,lk0rOHbVq,服,-2,0,-1,-1,0,0,1,0,-2,0,1,-2,0,-2,-1,-2,-1
94,ThSFP/7c6,花柄,2,2,2,2,2,2,2,2,2,2,2,2,2,-2,2,-2,2
95,O0Zybf346,動物,1,-1,2,1,2,2,-2,0,-1,-2,-1,1,-1,2,0,-1,-2
96,F2seKdTJG,ピンク色,-2,1,2,2,2,-1,-1,-1,2,2,1,-2,-1,-2,-2,-2,2
97,Kd5ICgpJS,女の子,-1,1,1,1,0,1,2,2,1,2,2,-1,2,0,1,0,2
98,fEkFadipa,子供,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2,2,2
99,Qwt1NaTQw,アクセサリー,1,2,2,-2,-2,0,2,2,1,2,2,-1,2,-2,0,-2,2
100,syPIKye4y,ピンク,-2,0,-2,0,0,-1,-1,-1,-1,2,-1,-1,-2,-2,-2,1,1
101,c5CsQRoM+,フランスの女の子,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2
102,x2JIha7pa,ミニーマウス,1,1,2,0,1,1,2,2,1,2,2,0,2,1,1,0,1
103,obSIK8Bry,ショートカット,2,0,2,2,2,1,1,1,1,2,1,1,2,1,0,1,1
104,/PHWjtxQs,デコレーション,2,2,2,2,2,2,2,2,2,0,2,0,0,2,2,2,2
105,hx3923eKu,おばあちゃん,2,1,1,1,1,2,-1,0,2,0,1,-1,-1,-1,2,-2,0
106,68qJcFZve,ピンク,-2,-2,-2,-2,-2,-2,1,1,-2,2,0,-2,2,-2,-2,-2,2
107,Fw8SEx7Kc,花柄の服,-1,2,2,2,2,2,2,2,2,2,2,0,-1,-2,-1,-1,2
108,Z2uCV4nI+,動物,0,-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,2,1,-2,-2
109,tMFkHybly,忍たま乱太郎,1,0,2,-1,0,2,-1,1,2,-2,2,-1,1,2,2,2,2
110,nEo1hVR42,我が家の猫,1,1,2,2,2,2,-2,1,-2,0,0,1,-1,2,2,1,-1
111,ThSFP/7c6,犬,2,-2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,2,2
