ds,trend,trend_lower,trend_upper,yhat,yhat_lower,yhat_upper,yearly
2011-08-01,392.4016344982372,392.4016344982372,392.4016344982372,391.02414738463995,390.4711771092902,391.54695375236406,-1.3774871135972229
2011-09-01,392.60207999325945,392.60207999325945,392.60207999325945,389.42638106816514,388.88609750661453,390.00347189056583,-3.1756989250943066
2011-10-01,392.79605950457136,392.79605950457136,392.79605950457136,389.4058072511309,388.8724771019551,389.8984728601229,-3.3902522534404604
2011-11-01,392.99650499959364,392.99650499959364,392.99650499959364,390.9187801536214,390.3758580070309,391.4770117313876,-2.077724845972241
2011-12-01,393.1904845109056,393.1904845109056,393.1904845109056,392.3037832513688,391.7880272345327,392.8502498491371,-0.8867012595368008
2012-01-01,393.3909300059279,393.3909300059279,393.3909300059279,393.4688382655572,392.91630964358154,394.00172906310104,0.07790825962931527
2012-02-01,393.59137550095016,393.59137550095016,393.59137550095016,394.27581729027423,393.7447282576038,394.82092004390506,0.6844417893240569
2012-03-01,393.7788890285517,393.7788890285517,393.7788890285517,395.19435829063855,394.65374641486983,395.7205271252982,1.4154692620868694
2012-04-01,393.97933452357404,393.97933452357404,393.97933452357404,396.61267240504986,396.11495037843446,397.17044278397157,2.6333378814758412
2012-05-01,394.17331403488595,394.17331403488595,394.17331403488595,397.1990495274093,396.62188849288856,397.7551405302741,3.0257354925233293
2012-06-01,394.3737595299082,394.3737595299082,394.3737595299082,396.689505051531,396.14616557203186,397.24373788749983,2.315745521622753
2012-07-01,394.56773904122014,394.56773904122014,394.56773904122014,395.2654815930248,394.7497522519961,395.8260724590498,0.6977425518046285
2012-08-01,394.7681845362424,394.7681845362424,394.7681845362424,393.34370400042036,392.7942938104698,393.9098983164666,-1.42448053582203
2012-09-01,394.96863003126475,394.96863003126475,394.96863003126475,391.74926119018755,391.21911870429403,392.3109779218174,-3.2193688410772
2012-10-01,395.16260954257666,395.16260954257666,395.16260954257666,391.8837983069409,391.37636146088636,392.40883908351265,-3.2788112356357795
2012-11-01,395.363055037599,395.363055037599,395.363055037599,393.3153840900304,392.7653831531342,393.8475047579541,-2.047670947568591
2012-12-01,395.5570345489109,395.5570345489109,395.5570345489109,394.65159192114584,394.07818034766177,395.21280985900904,-0.9054426277650485
2013-01-01,395.75748004393324,395.75748004393324,395.75748004393324,395.7895436369662,395.2335226579705,396.32445332198023,0.03206359303293737
2013-02-01,395.9579255389555,395.9579255389555,395.9579255389555,396.6409260320324,396.1008545390495,397.1490708146771,0.6830004930768439
2013-03-01,396.13897308284663,396.13897308284663,396.13897308284663,397.51730259810853,396.96257152274467,398.04882630076145,1.3783295152618895
2013-04-01,396.3394185778689,396.3394185778689,396.3394185778689,398.94650909911104,398.4141131928611,399.479440181258,2.6070905212421076
2013-05-01,396.5333980891809,396.5333980891809,396.5333980891809,399.58372831360015,399.0253161966675,400.12970101687046,3.0503302244192967
2013-06-01,396.73384358420316,396.73384358420316,396.73384358420316,399.0716557929181,398.5042083251591,399.6669429437421,2.337812208714923
2013-07-01,396.9278230955151,396.9278230955151,396.9278230955151,397.6411673556874,397.0654287825803,398.14808462339374,0.7133442601722704
2013-08-01,397.1282685905374,397.1282685905374,397.1282685905374,395.7196246517668,395.16060805646543,396.3095857436662,-1.4086439387706073
2013-09-01,397.3287140855597,397.3287140855597,397.3287140855597,394.12420142845906,393.5797757685511,394.68711271908745,-3.20451265710061
2013-10-01,397.52269359687165,397.52269359687165,397.52269359687165,394.20653174362553,393.6721933523611,394.7468800263276,-3.316161853246108
2013-11-01,397.7231390918939,397.7231390918939,397.7231390918939,395.6647134091147,395.09475318413604,396.13738931965884,-2.0584256827792076
2013-12-01,397.91711860320584,397.91711860320584,397.91711860320584,397.0175432782332,396.4234551551609,397.5520746298177,-0.8995753249726599
2014-01-01,398.1175640982281,398.1175640982281,398.1175640982281,398.16520700457914,397.6083701062231,398.7598770929801,0.047642906351036886
2014-02-01,398.31800959325045,398.31800959325045,398.31800959325045,399.00229625218117,398.44124938322926,399.5502893479984,0.6842866589307233
2014-03-01,398.49905713714156,398.49905713714156,398.49905713714156,399.84010809127307,399.277130786688,400.393976147803,1.3410509541315254
2014-04-01,398.6995026321639,398.6995026321639,398.6995026321639,401.28105420580806,400.8039726068485,401.7880278868422,2.581551573644166
2014-05-01,398.8934821434758,398.8934821434758,398.8934821434758,401.9688794616415,401.4251829788245,402.46457194791725,3.075397318165709
2014-06-01,399.09392763849814,399.09392763849814,399.09392763849814,401.45353625925065,400.897804771626,401.981888203063,2.3596086207525104
2014-07-01,399.28790714981005,399.28790714981005,399.28790714981005,400.016507595516,399.4669051739242,400.5559077254133,0.7286004457059138
2014-08-01,399.48835264483233,399.48835264483233,399.48835264483233,398.09537291259187,397.5359696262664,398.62703942026,-1.392979732240453
2014-09-01,399.6887981398546,399.6887981398546,399.6887981398546,396.49884111429844,395.93631903570963,397.0419564988029,-3.1899570255561454
2014-10-01,399.8827776511665,399.8827776511665,399.8827776511665,396.5294566456345,396.01442866320616,397.06655508855636,-3.353321005532017
2014-11-01,400.08322314618886,400.08322314618886,400.08322314618886,398.0147781883014,397.4810382589315,398.54581379852027,-2.068444957887439
2014-12-01,400.27720265750077,400.27720265750077,400.27720265750077,399.3838830343907,398.82834631842894,399.93340198793953,-0.8933196231100955
2015-01-01,400.4776481525231,400.4776481525231,400.4776481525231,400.540583313048,399.98367516132026,401.08726968458416,0.06293516052489145
