,station,to_station,#_of_rooms,floor_plan,area,tx.yr.,age,bldg.struct.,LUZ,renovation,price
788,甲子園,8.0,4.0,３ＬＤＫ,70.0,2022.0,9.0,ＲＣ,近隣商業,未改装,3500.0
790,甲子園,9.0,3.0,２ＬＤＫ,60.0,2022.0,49.0,ＲＣ,２種住居,未改装,1700.0
791,甲子園,9.0,4.0,３ＬＤＫ,75.0,2022.0,19.0,ＲＣ,２中住専,未改装,3200.0
793,甲子園,10.0,4.0,３ＬＤＫ,80.0,2021.0,20.0,ＲＣ,２中住専,未改装,3800.0
794,甲子園,9.0,4.0,３ＬＤＫ,65.0,2021.0,48.0,ＲＣ,２種住居,未改装,1200.0
795,甲子園,9.0,3.0,２ＬＤＫ,80.0,2021.0,20.0,ＲＣ,１中住専,改装済み,4200.0
801,甲子園,11.0,5.0,４ＬＤＫ,90.0,2023.0,24.0,ＲＣ,１中住専,未改装,4200.0
802,甲子園,11.0,5.0,４ＬＤＫ,130.0,2023.0,24.0,ＲＣ,１中住専,未改装,4900.0
804,甲子園,7.0,4.0,３ＬＤＫ,85.0,2024.0,5.0,ＲＣ,１中住専,未改装,6500.0
806,甲子園,8.0,4.0,３ＬＤＫ,70.0,2020.0,1.0,ＲＣ,１中住専,未改装,4700.0
807,甲子園,8.0,4.0,３ＬＤＫ,110.0,2020.0,1.0,ＲＣ,１中住専,改装済み,7500.0
808,甲東園,1.0,4.0,３ＬＤＫ,70.0,2025.0,26.0,ＳＲＣ,近隣商業,改装済み,5300.0
809,甲東園,2.0,3.0,２ＬＤＫ,75.0,2024.0,18.0,ＲＣ,近隣商業,未改装,4200.0
811,甲東園,1.0,4.0,３ＬＤＫ,65.0,2024.0,24.0,ＲＣ,１中住専,未改装,2800.0
812,甲東園,1.0,4.0,３ＬＤＫ,65.0,2023.0,23.0,ＲＣ,１中住専,改装済み,3800.0
814,甲東園,3.0,3.0,２ＬＤＫ,55.0,2023.0,25.0,ＲＣ,近隣商業,改装済み,2700.0
815,甲東園,2.0,4.0,３ＬＤＫ,75.0,2022.0,16.0,ＲＣ,近隣商業,未改装,4400.0
818,甲東園,2.0,4.0,３ＬＤＫ,80.0,2022.0,16.0,ＲＣ,近隣商業,未改装,4600.0
819,甲東園,1.0,4.0,３ＬＤＫ,80.0,2021.0,22.0,ＳＲＣ,近隣商業,改装済み,6000.0
820,甲東園,3.0,3.0,２ＬＤＫ,70.0,2021.0,48.0,ＳＲＣ,近隣商業,改装済み,2900.0
821,甲東園,3.0,4.0,３ＬＤＫ,70.0,2021.0,45.0,ＳＲＣ,近隣商業,改装済み,2400.0
823,甲東園,1.0,5.0,４ＬＤＫ,80.0,2020.0,21.0,ＳＲＣ,近隣商業,未改装,4200.0
824,西宮北口,4.0,4.0,３ＬＤＫ,90.0,2022.0,19.0,ＲＣ,近隣商業,改装済み,9300.0
827,西宮北口,1.0,4.0,３ＬＤＫ,75.0,2020.0,23.0,ＲＣ,商業,改装済み,5800.0
830,さくら夙川,14.0,4.0,３ＬＤＫ,75.0,2025.0,11.0,ＲＣ,近隣商業,未改装,5100.0
831,さくら夙川,14.0,5.0,４ＬＤＫ,85.0,2024.0,10.0,ＲＣ,商業,未改装,6000.0
833,さくら夙川,9.0,4.0,３ＬＤＫ,70.0,2023.0,17.0,ＲＣ,１中住専,未改装,4200.0
834,さくら夙川,14.0,4.0,３ＬＤＫ,70.0,2021.0,7.0,ＲＣ,商業,未改装,4200.0
836,さくら夙川,9.0,4.0,３ＬＤＫ,70.0,2020.0,14.0,ＲＣ,１中住専,未改装,4100.0
838,甲陽園,3.0,5.0,４ＬＤＫ,85.0,2024.0,24.0,ＲＣ,２低住専,改装済み,5100.0
839,甲陽園,10.0,4.0,３ＬＤＫ,70.0,2023.0,24.0,ＲＣ,１低住専,改装済み,2800.0
840,甲陽園,10.0,4.0,３ＬＤＫ,75.0,2023.0,24.0,ＲＣ,１低住専,未改装,2000.0
841,甲陽園,3.0,4.0,３ＬＤＫ,70.0,2022.0,22.0,ＲＣ,２低住専,未改装,3800.0
842,甲陽園,4.0,3.0,２ＬＤＫ,70.0,2021.0,21.0,ＲＣ,２低住専,未改装,4100.0
843,甲陽園,3.0,4.0,３ＬＤＫ,75.0,2020.0,20.0,ＲＣ,２低住専,未改装,3600.0
