,station,to_station,#_of_rooms,floor_plan,area,tx.yr.,age,bldg.struct.,LUZ,renovation,price
8490,門戸厄神,9.0,3.0,２ＤＫ,60.0,2016.0,12.0,ＲＣ,１中住専,未改装,3100.0
8491,甲子園口,7.0,5.0,４ＬＤＫ,90.0,2012.0,24.0,ＲＣ,１中住専,未改装,2800.0
8492,甲子園口,8.0,4.0,３ＬＤＫ,80.0,2012.0,24.0,ＲＣ,１中住専,未改装,2400.0
8493,甲子園口,7.0,4.0,３ＬＤＫ,75.0,2012.0,8.0,ＲＣ,１中住専,未改装,3800.0
8494,西宮(ＪＲ),4.0,4.0,３ＬＤＫ,70.0,2012.0,14.0,ＲＣ,近隣商業,改装済み,3000.0
8495,甲子園口,13.0,4.0,３ＬＤＫ,70.0,2012.0,9.0,ＲＣ,１中住専,未改装,3000.0
8496,西宮北口,8.0,3.0,２ＬＤＫ,65.0,2012.0,11.0,ＲＣ,１中住専,未改装,2500.0
8497,西宮北口,11.0,3.0,２ＬＤＫ,60.0,2012.0,10.0,ＲＣ,１中住専,未改装,2400.0
8498,西宮北口,11.0,4.0,３ＬＤＫ,70.0,2012.0,10.0,ＲＣ,１中住専,未改装,3100.0
8499,西宮北口,8.0,4.0,３ＬＤＫ,65.0,2012.0,16.0,ＲＣ,１中住専,未改装,2600.0
8500,西宮北口,8.0,5.0,４ＬＤＫ,75.0,2012.0,16.0,ＲＣ,１中住専,改装済み,3500.0
8501,門戸厄神,5.0,5.0,４ＬＤＫ,85.0,2012.0,13.0,ＲＣ,２種住居,未改装,3500.0
8502,夙川,12.0,4.0,３ＬＤＫ,75.0,2012.0,41.0,ＲＣ,１中住専,未改装,1100.0
8503,二郎,20.0,5.0,４ＬＤＫ,80.0,2016.0,25.0,ＲＣ,２中住専,未改装,750.0
8504,甲子園,11.0,4.0,３ＬＤＫ,70.0,2012.0,10.0,ＲＣ,２中住専,未改装,2900.0
8505,甲子園,13.0,4.0,３ＬＤＫ,120.0,2012.0,7.0,ＲＣ,２種住居,未改装,4800.0
8506,甲子園,12.0,4.0,３ＬＤＫ,75.0,2012.0,7.0,ＲＣ,２種住居,未改装,2800.0
8507,香櫨園,11.0,4.0,３ＬＤＫ,125.0,2016.0,26.0,ＲＣ,１中住専,未改装,4100.0
8508,香櫨園,10.0,3.0,２ＬＤＫ,70.0,2016.0,9.0,ＲＣ,１中住専,未改装,3100.0
8509,西宮(阪神),11.0,4.0,３ＬＤＫ,70.0,2016.0,31.0,ＳＲＣ,近隣商業,改装済み,1900.0
8510,西宮(阪神),3.0,4.0,３ＬＤＫ,65.0,2016.0,3.0,ＲＣ,近隣商業,未改装,3900.0
8511,西宮北口,6.0,4.0,３ＬＤＫ,80.0,2012.0,14.0,ＳＲＣ,１中住専,未改装,3800.0
8512,西宮北口,6.0,4.0,３ＬＤＫ,65.0,2012.0,14.0,ＳＲＣ,１中住専,未改装,3300.0
8513,西宮北口,9.0,2.0,１ＬＤＫ,55.0,2012.0,11.0,ＲＣ,１種住居,未改装,2200.0
8514,西宮北口,6.0,4.0,３ＬＤＫ,65.0,2012.0,14.0,ＳＲＣ,１中住専,未改装,3000.0
8516,西宮北口,5.0,2.0,１ＬＤＫ,60.0,2016.0,16.0,ＳＲＣ,２種住居,未改装,3100.0
8517,西宮北口,5.0,4.0,３ＬＤＫ,70.0,2016.0,11.0,ＲＣ,２種住居,改装済み,1400.0
8518,西宮(ＪＲ),16.0,4.0,２ＬＤＫ＋Ｓ,65.0,2012.0,15.0,ＲＣ,１種住居,未改装,2100.0
8519,西宮北口,3.0,4.0,３ＬＤＫ,80.0,2016.0,16.0,ＳＲＣ,２種住居,改装済み,4800.0
8520,西宮北口,3.0,4.0,２ＬＤＫ＋Ｓ,80.0,2016.0,16.0,ＳＲＣ,２種住居,未改装,3800.0
8521,西宮北口,6.0,3.0,２ＬＤＫ,70.0,2016.0,5.0,ＲＣ,２種住居,未改装,4300.0
8522,西宮北口,3.0,4.0,３ＬＤＫ,80.0,2016.0,16.0,ＳＲＣ,２種住居,未改装,4900.0
8523,西宮北口,5.0,5.0,４ＬＤＫ,80.0,2016.0,11.0,ＲＣ,２種住居,未改装,4900.0
8525,門戸厄神,10.0,4.0,３ＬＤＫ,70.0,2012.0,17.0,ＲＣ,１中住専,未改装,2500.0
8526,甲陽園,16.0,4.0,３ＬＤＫ,60.0,2016.0,40.0,ＲＣ,１中住専,改装済み,1200.0
8527,門戸厄神,9.0,5.0,４ＬＤＫ,95.0,2012.0,8.0,ＲＣ,１中住専,未改装,4300.0
8528,門戸厄神,6.0,4.0,３ＬＤＫ,70.0,2012.0,12.0,ＲＣ,１中住専,未改装,3400.0
8530,門戸厄神,7.0,5.0,４ＬＤＫ,95.0,2012.0,15.0,ＲＣ,１中住専,未改装,5000.0
8531,門戸厄神,4.0,4.0,３ＬＤＫ,80.0,2012.0,15.0,ＳＲＣ,１中住専,未改装,2900.0
8532,鳴尾・武庫川女子大前,18.0,4.0,３ＬＤＫ,70.0,2016.0,16.0,ＲＣ,１中住専,未改装,3100.0
8533,甲東園,15.0,4.0,３ＬＤＫ,75.0,2012.0,13.0,ＲＣ,１中住専,未改装,2700.0
8534,夙川,7.0,4.0,３ＬＤＫ,80.0,2016.0,5.0,ＲＣ,１中住専,未改装,5200.0
8535,夙川,8.0,4.0,３ＬＤＫ,70.0,2016.0,19.0,ＲＣ,１中住専,改装済み,3600.0
8538,西宮(阪神),4.0,2.0,１Ｋ,15.0,2016.0,20.0,ＳＲＣ,商業,未改装,690.0
8539,西宮(阪神),5.0,4.0,３ＬＤＫ,60.0,2016.0,16.0,ＲＣ,商業,未改装,1800.0
8540,門戸厄神,9.0,4.0,３ＬＤＫ,75.0,2012.0,6.0,ＲＣ,１種住居,未改装,3500.0
8541,門戸厄神,8.0,5.0,４ＬＤＫ,75.0,2012.0,10.0,ＲＣ,１中住専,未改装,3600.0
8542,香櫨園,6.0,4.0,３ＬＤＫ,65.0,2012.0,13.0,ＲＣ,近隣商業,改装済み,3200.0
8543,さくら夙川,2.0,4.0,３ＬＤＫ,75.0,2012.0,15.0,ＲＣ,１中住専,改装済み,4200.0
8544,西宮北口,20.0,4.0,３ＬＤＫ,65.0,2012.0,14.0,ＲＣ,１種住居,未改装,1900.0
8545,香櫨園,11.0,4.0,３ＬＤＫ,130.0,2012.0,22.0,ＲＣ,１中住専,未改装,1000.0
8546,香櫨園,9.0,5.0,４ＬＤＫ,95.0,2012.0,6.0,ＲＣ,１種住居,未改装,3900.0
8547,香櫨園,7.0,4.0,３ＬＤＫ,80.0,2012.0,6.0,ＲＣ,１種住居,未改装,3500.0
8548,香櫨園,11.0,4.0,３ＬＤＫ,125.0,2012.0,22.0,ＲＣ,１中住専,未改装,4000.0
8549,西宮(阪神),9.0,4.0,３ＬＤＫ,65.0,2012.0,5.0,ＲＣ,近隣商業,未改装,2700.0
8550,西宮北口,8.0,6.0,４ＬＤＫ＋Ｓ,95.0,2012.0,30.0,ＲＣ,２種住居,未改装,2600.0
8551,西宮北口,5.0,4.0,３ＬＤＫ,65.0,2012.0,7.0,ＲＣ,２種住居,未改装,3800.0
8552,西宮北口,8.0,5.0,４ＬＤＫ,80.0,2012.0,30.0,ＲＣ,２種住居,未改装,1700.0
8553,西宮北口,8.0,4.0,３ＬＤＫ,75.0,2012.0,30.0,ＲＣ,２種住居,改装済み,2500.0
8554,西宮北口,6.0,4.0,３ＬＤＫ,65.0,2012.0,1.0,ＲＣ,２種住居,未改装,3600.0
8555,西宮北口,3.0,4.0,３ＬＤＫ,80.0,2012.0,12.0,ＳＲＣ,２種住居,未改装,3700.0
