ds,y,yhat,yhat_lower,yhat_upper,trend,trend_lower,trend_upper,yearly
2008-06-01,388.05,387.8140395254027,387.27166971968416,388.3457428108666,385.47658293003633,385.47658293003633,385.47658293003633,2.3374565953663438
2008-07-01,386.25,386.3786267035516,385.8171870645846,386.9555046886759,385.66050056727465,385.66050056727465,385.66050056727465,0.7181261362769797
2008-08-01,384.09,384.4489663430747,383.8729409119183,385.03853884269716,385.8505487924208,385.8505487924208,385.8505487924208,-1.4015824493460838
2008-09-01,383.09,382.84158574356695,382.3072827566378,383.3776226948312,386.04059701756705,386.04059701756705,386.04059701756705,-3.199011274000096
2008-10-01,382.78,382.9570093083266,382.423800542319,383.5132626772397,386.22451465480526,386.22451465480526,386.22451465480526,-3.267505346478705
2008-11-01,384.01,384.37296465070284,383.84433546573047,384.9296345823973,386.4145628799515,386.4145628799515,386.4145628799515,-2.041598229248694
2008-12-01,385.11,385.70004595888673,385.1384173534655,386.2816635091114,386.5984805171898,386.5984805171898,386.5984805171898,-0.8984345583030775
2009-01-01,386.65,386.8007626850141,386.2474747717041,387.3305786475433,386.7885287423359,386.7885287423359,386.7885287423359,0.01223394267813831
2009-02-01,387.12,387.66021804259066,387.07516569482544,388.19977396433046,386.9785769674822,386.9785769674822,386.9785769674822,0.6816410751084965
2009-03-01,388.51,388.5258370306005,388.0107004186456,389.1014156011352,387.1502334289046,387.1502334289046,387.1502334289046,1.3756036016959279
2009-04-01,389.57,389.94690926404996,389.41626993401434,390.4806071607352,387.3402816540507,387.3402816540507,387.3402816540507,2.606627609999214
2009-05-01,390.17,390.5819991692028,390.01348505488426,391.1343848467875,387.52419929128905,387.52419929128905,387.52419929128905,3.057799877913737
2009-06-01,389.62,390.0630443934208,389.51489081268767,390.58258697743565,387.71424751643525,387.71424751643525,387.71424751643525,2.348796876985556
2009-07-01,388.07,388.6370482766953,388.08601199587355,389.19441487562693,387.89816515367346,387.89816515367346,387.89816515367346,0.7388831230218329
2009-08-01,386.08,386.70419501042153,386.11355441918676,387.2792759586783,388.0882133788197,388.0882133788197,388.0882133788197,-1.3840183683981844
2009-09-01,384.65,385.0955804775036,384.55688459633797,385.6660994683032,388.2782616039659,388.2782616039659,388.2782616039659,-3.1826811264623167
2009-10-01,384.33,385.1630142860097,384.6172517186135,385.6903706215536,388.4621792412042,388.4621792412042,388.4621792412042,-3.299164955194505
2009-11-01,386.05,386.5976403980873,386.0911077081942,387.1291181014044,388.6522274663504,388.6522274663504,388.6522274663504,-2.0545870682630527
2009-12-01,387.49,387.9423387422098,387.4166637530108,388.46224067970763,388.83614510358865,388.83614510358865,388.83614510358865,-0.8938063613788372
2010-01-01,388.55,389.0497957825709,388.50675210480784,389.5371766588858,389.0261933287349,389.0261933287349,389.0261933287349,0.023602453836024124
2010-02-01,390.07,389.89025781771556,389.3588996703316,390.4246584114329,389.21624155388105,389.21624155388105,389.21624155388105,0.6740162638344958
2010-03-01,391.01,390.73727009724945,390.1797793837983,391.2907087630964,389.38789801530345,389.38789801530345,389.38789801530345,1.349372081945976
2010-04-01,392.38,392.1735482854008,391.578260452395,392.72813548113163,389.5779462404497,389.5779462404497,389.5779462404497,2.5956020449510797
2010-05-01,393.22,392.83105089954506,392.28180883353093,393.4139188991936,389.761863877688,389.761863877688,389.761863877688,3.0691870218571147
2010-06-01,392.24,392.3119604118725,391.7688009386667,392.8920792684775,389.95191210283417,389.95191210283417,389.95191210283417,2.3600483090383486
2010-07-01,390.33,390.8953571385155,390.3596013656111,391.4184055274747,390.13582974007244,390.13582974007244,390.13582974007244,0.7595273984430702
2010-08-01,388.52,388.95930198391545,388.40417467606693,389.52747870519744,390.3258779652186,390.3258779652186,390.3258779652186,-1.3665759813031495
2010-09-01,386.84,387.3493203345666,386.83006726726103,387.9149817818553,390.51592619036484,390.51592619036484,390.51592619036484,-3.166605855798226
2010-10-01,387.16,387.3691117276278,386.8220289711424,387.9432345498786,390.6998438276031,390.6998438276031,390.6998438276031,-3.3307320999752847
2010-11-01,388.67,388.82289887712506,388.21332974788186,389.40024476737165,390.8898920527493,390.8898920527493,390.8898920527493,-2.066993175624269
2010-12-01,389.81,390.1849361999984,389.6335304653913,390.77020738330265,391.07380968998757,391.07380968998757,391.07380968998757,-0.8888734899891921
2011-01-01,391.3,391.29851585436774,390.744772480335,391.88402865363196,391.26385791513377,391.26385791513377,391.26385791513377,0.034657939233970564
2011-02-01,391.92,392.11973894402024,391.5736097090931,392.6737525680053,391.45390614028,391.45390614028,391.45390614028,0.6658328037402139
2011-03-01,392.45,392.9488176376929,392.4187550930468,393.5126825627235,391.6255626017024,391.6255626017024,391.6255626017024,1.3232550359905033
2011-04-01,393.37,394.4005561615552,393.8593976361246,394.93967932782766,391.81561082684857,391.81561082684857,391.81561082684857,2.584945334706607
2011-05-01,394.28,395.0801899532265,394.46714337150155,395.646098129594,391.99952846408684,391.99952846408684,391.99952846408684,3.0806614891397093
