,station,to_station,#_of_rooms,floor_plan,area,tx.yr.,age,bldg.struct.,LUZ,renovation,price
3307,西宮北口,9.0,5.0,４ＬＤＫ,85.0,2017.0,3.0,ＲＣ,準工業,未改装,5100.0
3308,西宮北口,10.0,3.0,２ＬＤＫ,60.0,2017.0,4.0,ＲＣ,工業,未改装,3200.0
3309,西宮(阪神),2.0,4.0,３ＬＤＫ,75.0,2010.0,4.0,ＲＣ,商業,未改装,3800.0
3310,西宮(阪神),2.0,3.0,２ＬＤＫ,80.0,2010.0,7.0,ＲＣ,商業,未改装,5000.0
3311,西宮(阪神),3.0,4.0,３ＬＤＫ,65.0,2010.0,4.0,ＲＣ,商業,改装済み,3600.0
3312,甲子園,18.0,3.0,２ＬＤＫ,95.0,2014.0,12.0,ＳＲＣ,１中住専,未改装,3100.0
3313,甲子園,18.0,4.0,３ＬＤＫ,95.0,2014.0,12.0,ＳＲＣ,１種住居,未改装,3200.0
3314,甲子園,16.0,4.0,３ＬＤＫ,85.0,2014.0,12.0,ＳＲＣ,１種住居,未改装,2800.0
3315,甲子園,20.0,5.0,４ＬＤＫ,80.0,2014.0,14.0,ＳＲＣ,２中住専,未改装,2900.0
3316,西宮(阪神),9.0,4.0,３ＬＤＫ,65.0,2017.0,19.0,ＲＣ,近隣商業,未改装,2900.0
3318,西宮(阪神),9.0,4.0,３ＬＤＫ,70.0,2014.0,11.0,ＳＲＣ,準工業,未改装,2700.0
3319,西宮(阪神),5.0,3.0,２ＬＤＫ,65.0,2014.0,14.0,ＳＲＣ,近隣商業,未改装,2400.0
3320,甲東園,16.0,3.0,２ＬＤＫ,65.0,2010.0,31.0,ＲＣ,１中住専,改装済み,1100.0
3321,甲東園,8.0,4.0,３ＬＤＫ,70.0,2010.0,7.0,ＲＣ,１中住専,未改装,3000.0
3323,甲東園,19.0,4.0,３ＬＤＫ,75.0,2010.0,31.0,ＲＣ,１中住専,未改装,1400.0
3324,洲先,4.0,4.0,３ＬＤＫ,70.0,2014.0,37.0,ＲＣ,１種住居,改装済み,1200.0
3326,苦楽園口,14.0,4.0,３ＬＤＫ,75.0,2017.0,21.0,ＲＣ,１中住専,未改装,1600.0
3327,苦楽園口,16.0,4.0,３ＬＤＫ,70.0,2017.0,16.0,ＲＣ,１中住専,未改装,2000.0
3328,苦楽園口,15.0,5.0,４ＬＤＫ,85.0,2017.0,12.0,ＲＣ,１中住専,未改装,2600.0
3329,苦楽園口,19.0,4.0,３ＬＤＫ,80.0,2017.0,16.0,ＲＣ,１中住専,未改装,2300.0
3330,西宮北口,25.0,4.0,３ＬＤＫ,65.0,2017.0,40.0,ＳＲＣ,１中住専,改装済み,1100.0
3331,東鳴尾,4.0,4.0,３ＤＫ,60.0,2014.0,35.0,ＳＲＣ,１種住居,未改装,400.0
3332,東鳴尾,5.0,4.0,３ＬＤＫ,70.0,2014.0,32.0,ＲＣ,１種住居,改装済み,1800.0
3333,今津(阪急),18.0,4.0,３ＬＤＫ,65.0,2014.0,10.0,ＲＣ,準工業,未改装,2400.0
3335,今津(阪神),15.0,4.0,３ＬＤＫ,70.0,2014.0,9.0,ＲＣ,準工業,未改装,2200.0
3336,今津(阪神),15.0,5.0,４ＬＤＫ,80.0,2014.0,8.0,ＲＣ,準工業,改装済み,2600.0
3337,仁川,10.0,4.0,３ＬＤＫ,65.0,2010.0,7.0,ＲＣ,１中住専,未改装,2600.0
3339,西宮北口,25.0,5.0,４ＬＤＫ,90.0,2017.0,28.0,ＲＣ,１中住専,未改装,2500.0
3340,西宮(阪神),15.0,5.0,４ＬＤＫ,80.0,2014.0,10.0,ＲＣ,準工業,未改装,2800.0
3342,西宮名塩,8.0,5.0,４ＬＤＫ,110.0,2014.0,22.0,ＲＣ,１中住専,改装済み,1800.0
3344,西宮名塩,13.0,5.0,４ＬＤＫ,85.0,2014.0,11.0,ＲＣ,１中住専,未改装,2400.0
3346,西宮名塩,20.0,5.0,４ＬＤＫ,85.0,2014.0,11.0,ＲＣ,１中住専,改装済み,1700.0
3347,西宮名塩,9.0,4.0,３ＬＤＫ,95.0,2014.0,20.0,ＲＣ,１中住専,未改装,1700.0
3348,西宮名塩,6.0,4.0,３ＬＤＫ,80.0,2014.0,11.0,ＲＣ,１中住専,未改装,1800.0
3349,西宮名塩,15.0,5.0,４ＬＤＫ,85.0,2014.0,17.0,ＲＣ,１中住専,改装済み,1700.0
3350,西宮名塩,7.0,4.0,３ＬＤＫ,90.0,2014.0,20.0,ＲＣ,１中住専,改装済み,1300.0
3351,西宮名塩,5.0,5.0,４ＬＤＫ,95.0,2014.0,18.0,ＲＣ,１中住専,未改装,1700.0
3352,西宮名塩,14.0,4.0,３ＬＤＫ,75.0,2014.0,17.0,ＲＣ,１中住専,改装済み,1400.0
3353,武庫川団地前,10.0,4.0,３ＬＤＫ,70.0,2017.0,34.0,ＳＲＣ,１中住専,改装済み,1500.0
3355,武庫川団地前,5.0,4.0,３ＬＤＫ,75.0,2017.0,26.0,ＲＣ,１中住専,未改装,1700.0
3356,武庫川団地前,4.0,4.0,３ＬＤＫ,70.0,2017.0,28.0,ＳＲＣ,１中住専,改装済み,1900.0
3358,武庫川団地前,4.0,4.0,３ＬＤＫ,70.0,2017.0,28.0,ＳＲＣ,１中住専,未改装,1000.0
3359,武庫川団地前,4.0,4.0,３ＬＤＫ,70.0,2017.0,28.0,ＳＲＣ,１中住専,未改装,1000.0
3360,武庫川団地前,8.0,4.0,３ＬＤＫ,90.0,2017.0,22.0,ＲＣ,１中住専,未改装,2200.0
3361,武庫川団地前,16.0,3.0,２ＬＤＫ,65.0,2017.0,27.0,ＳＲＣ,１中住専,未改装,1200.0
3362,武庫川団地前,9.0,5.0,４ＬＤＫ,95.0,2017.0,21.0,ＲＣ,１中住専,未改装,2000.0
3363,武庫川団地前,14.0,4.0,２ＬＤＫ＋Ｓ,65.0,2017.0,32.0,ＳＲＣ,１中住専,改装済み,1400.0
3365,夙川,13.0,4.0,３ＬＤＫ,85.0,2017.0,4.0,ＳＲＣ,１低住専,未改装,6400.0
3366,夙川,12.0,2.0,１ＬＤＫ,60.0,2017.0,49.0,ＲＣ,１中住専,未改装,870.0
3367,苦楽園口,12.0,3.0,２ＬＤＫ,70.0,2014.0,14.0,ＲＣ,１中住専,未改装,4000.0
3368,苦楽園口,12.0,4.0,３ＬＤＫ,70.0,2014.0,14.0,ＲＣ,１中住専,未改装,3500.0
3370,苦楽園口,12.0,4.0,３ＬＤＫ,85.0,2014.0,14.0,ＲＣ,１中住専,未改装,3700.0
3371,西宮北口,11.0,3.0,２ＬＤＫ,65.0,2017.0,42.0,ＳＲＣ,準工業,改装済み,1900.0
3373,今津(阪神),3.0,3.0,２ＬＤＫ,50.0,2010.0,13.0,ＲＣ,近隣商業,未改装,1600.0
3374,今津(阪急),1.0,4.0,３ＬＤＫ,65.0,2010.0,12.0,ＳＲＣ,商業,未改装,1600.0
3375,門戸厄神,14.0,4.0,３ＬＤＫ,70.0,2014.0,19.0,ＲＣ,１中住専,未改装,2400.0
3376,今津(阪神),8.0,4.0,３ＬＤＫ,70.0,2010.0,8.0,ＲＣ,１種住居,未改装,2500.0
3377,今津(阪神),4.0,2.0,１ＤＫ,25.0,2010.0,21.0,ＲＣ,商業,改装済み,3400.0
3378,門戸厄神,16.0,4.0,３ＬＤＫ,65.0,2014.0,20.0,ＲＣ,１中住専,改装済み,2400.0
3379,今津(阪神),7.0,3.0,２ＬＤＫ,55.0,2010.0,14.0,ＳＲＣ,１種住居,未改装,1400.0
3381,今津(阪神),8.0,4.0,３ＬＤＫ,60.0,2010.0,14.0,ＳＲＣ,１種住居,未改装,1900.0
3382,今津(阪神),7.0,3.0,２ＬＤＫ,60.0,2010.0,14.0,ＳＲＣ,１種住居,未改装,1500.0
3383,今津(阪神),6.0,4.0,３ＬＤＫ,60.0,2010.0,14.0,ＳＲＣ,１種住居,未改装,1500.0
3385,西宮(阪神),2.0,4.0,３ＬＤＫ,75.0,2017.0,14.0,ＳＲＣ,商業,未改装,4300.0
3389,甲東園,16.0,4.0,３ＬＤＫ,65.0,2017.0,38.0,ＲＣ,１中住専,改装済み,1700.0
3390,西宮(阪神),8.0,3.0,２ＬＤＫ,60.0,2010.0,12.0,ＲＣ,近隣商業,未改装,2000.0
3391,西宮(阪神),8.0,3.0,２ＬＤＫ,60.0,2010.0,12.0,ＲＣ,近隣商業,未改装,2400.0
3393,西宮北口,9.0,4.0,３ＬＤＫ,65.0,2014.0,4.0,ＲＣ,工業,未改装,3100.0
3394,西宮北口,6.0,1.0,１Ｒ,15.0,2014.0,27.0,ＲＣ,近隣商業,未改装,400.0
3395,甲子園口,7.0,4.0,３ＬＤＫ,65.0,2010.0,38.0,ＲＣ,１中住専,未改装,1500.0
3396,西宮北口,12.0,4.0,３ＬＤＫ,85.0,2014.0,8.0,ＲＣ,１中住専,未改装,4800.0
3397,西宮(阪神),3.0,4.0,３ＬＤＫ,65.0,2010.0,4.0,ＲＣ,商業,未改装,2800.0
3398,西宮(阪神),3.0,4.0,３ＬＤＫ,85.0,2010.0,4.0,ＲＣ,商業,未改装,3700.0
3400,甲子園口,6.0,4.0,３ＬＤＫ,100.0,2014.0,46.0,ＲＣ,１中住専,未改装,3000.0
3401,甲子園口,6.0,3.0,２ＬＤＫ,70.0,2014.0,46.0,ＲＣ,１中住専,未改装,1700.0
3402,夙川,9.0,3.0,２ＤＫ,40.0,2010.0,13.0,ＲＣ,１低住専,未改装,2000.0
3403,尼崎(ＪＲ),10.0,3.0,２ＬＤＫ,55.0,2010.0,13.0,ＲＣ,１種住居,改装済み,2000.0
3404,鳴尾・武庫川女子大前,10.0,5.0,４ＬＤＫ,80.0,2014.0,35.0,ＳＲＣ,１中住専,改装済み,2000.0
3405,夙川,13.0,4.0,３ＬＤＫ,60.0,2014.0,14.0,ＲＣ,近隣商業,未改装,2500.0
3406,甲子園口,11.0,3.0,２ＤＫ,35.0,2010.0,22.0,ＲＣ,１種住居,未改装,550.0
3407,西宮(阪神),8.0,4.0,３ＬＤＫ,60.0,2014.0,14.0,ＲＣ,近隣商業,未改装,2700.0
3408,甲子園口,11.0,3.0,２ＤＫ,35.0,2010.0,22.0,ＲＣ,１種住居,未改装,550.0
3409,甲子園口,10.0,4.0,３ＬＤＫ,80.0,2010.0,13.0,ＲＣ,１種住居,改装済み,2800.0
3410,仁川,7.0,4.0,３ＬＤＫ,70.0,2017.0,9.0,ＲＣ,２中住専,未改装,3700.0
3411,香櫨園,11.0,5.0,４ＬＤＫ,95.0,2014.0,17.0,ＲＣ,１中住専,未改装,2400.0
3412,今津(阪神),8.0,3.0,２ＬＤＫ,70.0,2017.0,2.0,ＲＣ,１種住居,未改装,3700.0
3413,西宮(阪神),18.0,4.0,３ＬＤＫ,70.0,2014.0,1.0,ＲＣ,準工業,未改装,2700.0
3414,西宮(阪神),16.0,4.0,３ＬＤＫ,70.0,2014.0,1.0,ＲＣ,準工業,未改装,2900.0
3416,西宮(ＪＲ),12.0,4.0,２ＬＤＫ＋Ｓ,70.0,2010.0,10.0,ＲＣ,近隣商業,未改装,2500.0
3417,今津(阪神),13.0,4.0,３ＬＤＫ,65.0,2017.0,16.0,ＲＣ,工業,改装済み,2600.0
3418,西宮北口,19.0,4.0,３ＬＤＫ,65.0,2010.0,13.0,ＲＣ,１種住居,改装済み,2000.0
3419,西宮北口,21.0,4.0,３ＬＤＫ,80.0,2010.0,16.0,ＲＣ,１種住居,未改装,2100.0
3420,香櫨園,4.0,4.0,３ＬＤＫ,100.0,2014.0,25.0,ＲＣ,１中住専,未改装,3800.0
3421,西宮(ＪＲ),6.0,3.0,２ＬＤＫ,55.0,2017.0,18.0,ＲＣ,２種住居,未改装,2300.0
3422,西宮(ＪＲ),3.0,4.0,３ＬＤＫ,65.0,2017.0,22.0,ＲＣ,２種住居,未改装,2800.0
3424,西宮(ＪＲ),7.0,4.0,３ＬＤＫ,75.0,2017.0,16.0,ＲＣ,準工業,未改装,3400.0
3425,さくら夙川,13.0,4.0,３ＬＤＫ,75.0,2014.0,15.0,ＲＣ,１中住専,改装済み,3100.0
3428,夙川,7.0,4.0,３ＬＤＫ,75.0,2014.0,2.0,ＲＣ,１中住専,未改装,5200.0
3429,夙川,8.0,4.0,３ＬＤＫ,95.0,2014.0,5.0,ＲＣ,１中住専,未改装,7900.0
3430,今津(阪神),3.0,4.0,３ＬＤＫ,65.0,2017.0,3.0,ＲＣ,近隣商業,未改装,2900.0
3432,今津(阪神),2.0,3.0,２ＬＤＫ,55.0,2017.0,13.0,ＲＣ,商業,改装済み,2700.0
3436,甲子園口,7.0,4.0,３ＬＤＫ,75.0,2014.0,10.0,ＲＣ,１中住専,未改装,4200.0
3438,甲子園口,7.0,4.0,３ＬＤＫ,65.0,2014.0,19.0,ＲＣ,１中住専,改装済み,2400.0
3440,西宮(ＪＲ),4.0,3.0,２ＬＤＫ,65.0,2014.0,19.0,ＲＣ,近隣商業,未改装,2600.0
3441,西宮(ＪＲ),4.0,4.0,３ＬＤＫ,65.0,2014.0,12.0,ＲＣ,近隣商業,未改装,3000.0
3442,甲子園口,13.0,4.0,３ＬＤＫ,80.0,2014.0,9.0,ＲＣ,１中住専,未改装,3200.0
3443,甲子園口,15.0,4.0,３ＬＤＫ,90.0,2014.0,11.0,ＲＣ,１中住専,未改装,3700.0
3444,西宮北口,8.0,3.0,２ＬＤＫ,75.0,2014.0,13.0,ＲＣ,１中住専,未改装,3700.0
3445,西宮北口,8.0,4.0,３ＬＤＫ,70.0,2014.0,18.0,ＲＣ,１中住専,未改装,2800.0
3446,西宮北口,8.0,4.0,３ＬＤＫ,65.0,2014.0,14.0,ＲＣ,１中住専,未改装,2800.0
3447,西宮北口,8.0,4.0,３ＬＤＫ,70.0,2014.0,18.0,ＲＣ,１中住専,未改装,3000.0
3448,西宮名塩,29.0,4.0,３ＬＤＫ,65.0,2010.0,15.0,ＲＣ,１低住専,未改装,260.0
3449,甲子園口,8.0,4.0,３ＬＤＫ,75.0,2017.0,16.0,ＲＣ,１中住専,未改装,3100.0
3450,門戸厄神,8.0,4.0,３ＬＤＫ,70.0,2014.0,15.0,ＲＣ,２中住専,未改装,2200.0
3452,夙川,13.0,4.0,３ＬＤＫ,75.0,2014.0,43.0,ＲＣ,１中住専,改装済み,1500.0
