ds,trend,trend_lower,trend_upper,yhat,yhat_lower,yhat_upper,yearly
1970-05-01,325.5126212342355,325.5126212342355,325.5126212342355,328.4715434961776,327.9266804212732,328.9547133486355,2.95892226194214
1970-06-01,325.60825884957256,325.60825884957256,325.60825884957256,327.9144282585676,327.3865214422942,328.4222645002773,2.306169408995065
1970-07-01,325.700811380544,325.700811380544,325.700811380544,326.47663962386326,326.00744095191834,327.0178936337494,0.7758282433192766
1970-08-01,325.7964489958811,325.7964489958811,325.7964489958811,324.53672326748745,324.0506091940446,325.0640275093502,-1.2597257283936547
1970-09-01,325.850903280988,325.850903280988,325.850903280988,322.7452254412857,322.23895150464665,323.26515927227985,-3.1056778397023357
1970-10-01,325.9036009762527,325.9036009762527,325.9036009762527,322.5876296537877,322.0515750080779,323.0724110483841,-3.315971322464993
1970-11-01,325.95805526135956,325.95805526135956,325.95805526135956,323.8649550142616,323.3716233777629,324.39011069744066,-2.0931002470979463
1970-12-01,326.0107529566243,326.0107529566243,326.0107529566243,325.0518990678704,324.549002903424,325.55765944527286,-0.958853888753897
1971-01-01,326.0652072417311,326.0652072417311,326.0652072417311,326.0256702997141,325.5367099520025,326.54551048842336,-0.03953694201702058
1971-02-01,326.119661526838,326.119661526838,326.119661526838,326.7145779435943,326.2281920001505,327.2214404074812,0.5949164167562857
1971-03-01,326.1688460424184,326.1688460424184,326.1688460424184,327.3778603316195,326.8679900698744,327.88500057552204,1.2090142892010731
1971-04-01,326.2233003275253,326.2233003275253,326.2233003275253,328.7062305285164,328.22358729563024,329.2100334307126,2.4829302009911474
1971-05-01,326.27599802278996,326.27599802278996,326.27599802278996,329.26747908968684,328.7349760429389,329.7498869056952,2.991481066896909
1971-06-01,326.3304523078968,326.3304523078968,326.3304523078968,328.67011335547704,328.1608484929418,329.16409812964105,2.3396610475802264
1971-07-01,326.3831500031615,326.3831500031615,326.3831500031615,327.1526895184147,326.5961488448814,327.6662322717891,0.7695395152532091
1971-08-01,326.4376042882684,326.4376042882684,326.4376042882684,325.2086298531303,324.7210671942791,325.69215688202587,-1.2289744351381033
1971-09-01,326.49205857337523,326.49205857337523,326.49205857337523,323.3995069481237,322.87749712088737,323.940158835753,-3.0925516252515113
1971-10-01,326.54475626863996,326.54475626863996,326.54475626863996,323.16976695756154,322.6451299327756,323.68452446806566,-3.3749893110784126
1971-11-01,326.59921055374684,326.59921055374684,326.59921055374684,324.5094699589121,323.9831175913344,324.9930116346651,-2.089740594834741
1971-12-01,326.6519082490115,326.6519082490115,326.6519082490115,325.70324077140026,325.17856617915027,326.18357386326375,-0.948667477611247
1972-01-01,326.82102282371136,326.82102282371136,326.82102282371136,326.80487302480293,326.2892496095377,327.2872155808188,-0.016149798908401795
1972-02-01,326.9901373984112,326.9901373984112,326.9901373984112,327.60178540582416,327.07910637109956,328.12426344886535,0.6116480074129527
1972-03-01,327.1483413553885,327.1483413553885,327.1483413553885,328.6077094691871,328.13031073402624,329.12619328705927,1.4593681137986316
1972-04-01,327.31745593008833,327.31745593008833,327.31745593008833,329.82198074268376,329.2771642753623,330.3261832548432,2.504524812595414
1972-05-01,327.4811151959269,327.4811151959269,327.4811151959269,330.3764521013738,329.83363760694743,330.9193529434923,2.895336905446857
1972-06-01,327.65022977062677,327.65022977062677,327.65022977062677,329.88755304437205,329.38870314418693,330.4016214589374,2.237323273745269
